Date,SPX,Oil,EUR,XAU,JPY,10Y_US,VIX,cluster,cat_0,cat_1,cat_2
2006-05-02,0.007452703993884979,0.011748200529938746,0.002939772822815101,0.021332095020380137,0.0016760977450887005,-0.020999908447265625,-0.5500001907348633,2,0,0,1
2006-05-03,-0.004362670713201844,-0.029305988726973098,0.00047965109389402905,-0.001352426193206302,-0.0037788935909668364,0.03399991989135742,0.0,1,0,1,0
2006-05-04,0.003619737092779518,-0.027057839544991746,0.006172738100438391,0.015347641987844218,0.0018048319118462164,0.006000041961669922,-0.13000011444091797,2,0,0,1
2006-05-05,0.009111617312072884,-0.004683836303477906,0.0021255781366937843,0.007557713121890908,0.009106268195726797,-0.04200029373168945,-0.23999977111816406,2,0,0,1
2006-05-08,-0.0013167795334838583,-0.001764746273265172,-0.001968977903229807,-0.006324464166587607,0.007879631545606225,0.01100015640258789,0.38000011444091797,2,0,0,1
2006-05-09,0.0015068751177245154,0.007660640741035785,0.005042960667646312,0.0313795562935506,0.00603547568734486,0.006000041961669922,-0.010000228881835938,2,0,0,1
2006-05-10,-0.0011284558961820457,0.02002916793312015,0.0005876632444432595,0.010045880384277117,0.001624111722475341,0.0,-0.21000003814697266,2,0,0,1
2006-05-11,-0.012050461306721938,0.00759648035247662,0.00606610110597483,0.009235600330281812,0.0037131286805680563,0.03000020980834961,0.7100000381469727,2,0,0,1
2006-05-12,-0.013340956737183163,-0.016927487763124582,0.006064121310479287,0.0012671261274381784,0.0040919973015101085,0.03099966049194336,1.6999998092651367,2,0,0,1
2006-05-15,0.0023179447556500588,-0.03588486955623216,-0.010820332696166113,-0.05216533944314217,-0.006594360864168536,-0.03299999237060547,-0.619999885559082,0,1,0,0
2006-05-16,-0.001734438234727298,0.00105057328095004,0.004690263175409992,0.017801466889946216,0.008564092508353216,-0.04799985885620117,-0.2199993133544922,2,0,0,1
2006-05-17,-0.020077220077220126,-0.014992504434085396,-0.00840970713971445,-0.006704548613620798,-0.01036878088456672,0.04799985885620117,2.9099998474121094,2,0,0,1
