Date,SPX,EUR,XAU,JPY,Oil,10Y_US,VIX
2006-05-01,1308.25,1.2580040291302503,65.16000366210938,0.00880669285005818,572.0,5.13100004196167,12.539999961853027
2006-05-02,1318.0,1.2617022751860794,66.55000305175781,0.00882145372808585,578.719970703125,5.110000133514404,11.989999771118164
2006-05-03,1312.25,1.262307452062541,66.45999908447266,0.008788118393129776,561.760009765625,5.144000053405762,11.989999771118164
2006-05-04,1317.0,1.2700993453663547,67.4800033569336,0.00880397946965078,546.5599975585938,5.150000095367432,11.859999656677246
2006-05-05,1329.0,1.2727990407662946,67.98999786376953,0.008884150867891093,544.0,5.107999801635742,11.619999885559082
2006-05-08,1327.25,1.2702929275797736,67.55999755859375,0.008954154703325652,543.0399780273438,5.11899995803833,12.0
2006-05-09,1329.25,1.2766989648499478,69.68000030517578,0.009008197286338298,547.2000122070312,5.125,11.989999771118164
2006-05-10,1327.75,1.2774492339058088,70.37999725341797,0.00902282760514941,558.1599731445312,5.125,11.779999732971191
2006-05-11,1311.75,1.2851983701164316,71.02999877929688,0.009056330525109912,562.4000244140625,5.15500020980835,12.489999771118164
2006-05-12,1294.25,1.2929919689408478,71.12000274658203,0.009093389005180245,552.8800048828125,5.185999870300293,14.1899995803833
2006-05-15,1297.25,1.279001365663437,67.41000366210938,0.009033423916601824,533.0399780273438,5.1529998779296875,13.569999694824219
2006-05-16,1295.0,1.2850002186701073,68.61000061035156,0.009110786994690773,533.5999755859375,5.105000019073486,13.350000381469727
2006-05-17,1269.0,1.2741937431566226,68.1500015258789,0.009016319240656864,525.5999755859375,5.1529998779296875,16.260000228881836
2006-05-18,1263.0,1.2850992375370074,67.45999908447266,0.009017132427781314,533.9199829101562,5.072999954223633,16.989999771118164
2006-05-19,1270.75,1.2766989648499478,65.58000183105469,0.008955758259027707,524.5599975585938,5.053999900817871,17.18000030517578
2006-05-22,1262.0,1.2852975179912138,65.30000305175781,0.00897182853233406,530.239990234375,5.035999774932861,17.719999313354492
2006-05-23,1252.5,1.2782983589350358,66.37999725341797,0.008917424696297166,542.1599731445312,5.065999984741211,18.260000228881836
2006-05-24,1261.0,1.277400213006427,64.05999755859375,0.008869966462198798,528.7999877929688,5.033999919891357,17.360000610351562
2006-05-25,1276.0,1.2810001950069962,64.69999694824219,0.008947744997186423,542.4000244140625,5.073999881744385,15.5
2006-05-26,1282.75,1.2739015578422601,65.0999984741211,0.00887705269822186,542.0,5.052000045776367,14.260000228881836
2006-05-29,1280.0,1.2751035680551641,,0.008884150867891093,,,
2006-05-30,1260.0,1.286504566775529,65.11000061035156,0.008916629392726735,546.5599975585938,5.085999965667725,18.65999984741211
2006-05-31,1272.0,1.2816076807775378,64.2300033569336,0.008886519246847968,541.8400268554688,5.11299991607666,16.440000534057617
2006-06-01,1285.75,1.2810986961703226,62.560001373291016,0.008890469151451684,534.5599975585938,5.107999801635742,14.520000457763672
2006-06-02,1288.25,1.2918060420202302,63.5,0.008950147408529039,551.2000122070312,4.99399995803833,14.319999694824219
2006-06-05,1269.5,1.2901062191977362,63.290000915527344,0.00890154915967996,549.9199829101562,5.026000022888184,16.649999618530273
2006-06-06,1265.75,1.2821991821146483,62.54999923706055,0.008832752129545594,550.0800170898438,5.00600004196167,17.34000015258789
2006-06-07,1256.0,1.280196612226899,62.279998779296875,0.008816009850212178,538.239990234375,5.026000022888184,17.799999237060547
2006-06-08,1255.5,1.2648941689182327,60.90999984741211,0.00877693440495074,536.9600219726562,4.992000102996826,18.350000381469727
2006-06-09,1251.0,1.2640946585775295,60.45000076293945,0.008775008845505094,544.5599975585938,4.980999946594238,18.1200008392334
2006-06-12,1236.5,1.2586057570438292,60.029998779296875,0.00874278741049819,536.6400146484375,4.986999988555908,20.959999084472656
2006-06-13,1222.0,1.2545949124688842,55.91999816894531,0.008677542680815959,521.4400024414062,4.960999965667725,23.809999465942383
2006-06-14,1230.75,1.2609068882944223,55.619998931884766,0.008706251042017466,526.3200073242188,5.050000190734863,21.459999084472656
2006-06-15,1257.0,1.2639987547772278,57.31999969482422,0.008717256086157392,529.280029296875,5.0980000495910645,15.899999618530273
2006-06-16,1252.0899658203125,1.2644942397176469,57.68000030517578,0.008685079080258395,530.0,5.127999782562256,17.25
2006-06-19,1248.5,1.2580040291302503,56.36000061035156,0.008667013553515892,524.3200073242188,5.144999980926514,17.829999923706055
2006-06-20,1252.5,1.2589067424517217,57.29999923706055,0.008703220075891558,522.3200073242188,5.1570000648498535,16.690000534057617
2006-06-21,1261.75,1.266095189179444,58.33000183105469,0.008708146540449744,530.7999877929688,5.15500020980835,15.520000457763672
2006-06-22,1256.0,1.258494824462598,57.72999954223633,0.008614748313455588,536.0,5.197999954223633,15.880000114440918
2006-06-23,1255.5,1.2523951739998436,57.9900016784668,0.008580744741239862,535.1199951171875,5.228000164031982,15.890000343322754
2006-06-26,1260.25,1.2589067424517217,58.279998779296875,0.008604370930103402,541.5999755859375,5.238999843597412,15.619999885559082
2006-06-27,1249.75,1.2568972067304454,57.68000030517578,0.008596973887754369,544.6400146484375,5.210000038146973,16.399999618530273
2006-06-28,1257.75,1.2545949124688842,57.540000915527344,0.008591065179476588,546.47998046875,5.244999885559082,15.789999961853027
2006-06-29,1282.5,1.2663998633450084,59.52000045776367,0.008684324678669319,556.0800170898438,5.199999809265137,13.029999732971191
2006-06-30,1279.5,1.2782983589350358,61.22999954223633,0.00873438744570412,558.1599731445312,5.138000011444092,13.079999923706055
2006-07-03,,1.2800983473995844,62.18000030517578,0.008714596949891068,559.4400024414062,,13.050000190734863
